66788016,UR,1,#VALUE!,1,Fissure,"Destroy the 1 face-up monster your opponent controls that has the lowest ATK (your choice, if tied).",null,null,Spell Card,0,Normal,0,null,null,null,null,"YS12-EN025,SDY-026,SDK-032,BP01-EN065,SKE-027,YSD-EN025,DEM1-EN013,SYE-028,SDSC-EN025,YS11-EN025,BP01-EN065,SDGR-EN024,SDP-028,DLG1-EN007,DB1-EN117,LOB-057,SDJ-028,LOB-EN057,LCYW-EN055,RP01-EN006,LOB-E045,HL2-EN006,SDK-E029,SDY-E024,","Starter Deck: Xyz Symphony,Starter Deck: Yugi,Starter Deck: Kaiba,Battle Pack: Epic Dawn,Starter Deck: Kaiba Evolution,Starter Deck 2006,Demo Pack,Starter Deck: Yugi Evolution,Spellcaster's Command Structure Deck,Starter Deck: Dawn of the Xyz,Battle Pack: Epic Dawn,Geargia Rampage Structure Deck,Starter Deck: Pegasus,Dark Legends,Dark Beginning 1,Legend of Blue Eyes White Dragon,Starter Deck: Joey,Legend of Blue Eyes White Dragon,Legendary Collection 3: Yugi's World Mega Pack,Retro Pack,Legend of Blue Eyes White Dragon,Hobby League 2 participation card F,Starter Deck: Kaiba,Starter Deck: Yugi,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/66788016.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/66788016.jpg,LOB,1,FALSE
66788016,UR,1,#VALUE!,1,Fissure,"Destroy the 1 face-up monster your opponent controls that has the lowest ATK (your choice, if tied).",null,null,Spell Card,0,Normal,0,null,null,null,null,"YS12-EN025,SDY-026,SDK-032,BP01-EN065,SKE-027,YSD-EN025,DEM1-EN013,SYE-028,SDSC-EN025,YS11-EN025,BP01-EN065,SDGR-EN024,SDP-028,DLG1-EN007,DB1-EN117,LOB-057,SDJ-028,LOB-EN057,LCYW-EN055,RP01-EN006,LOB-E045,HL2-EN006,SDK-E029,SDY-E024,","Starter Deck: Xyz Symphony,Starter Deck: Yugi,Starter Deck: Kaiba,Battle Pack: Epic Dawn,Starter Deck: Kaiba Evolution,Starter Deck 2006,Demo Pack,Starter Deck: Yugi Evolution,Spellcaster's Command Structure Deck,Starter Deck: Dawn of the Xyz,Battle Pack: Epic Dawn,Geargia Rampage Structure Deck,Starter Deck: Pegasus,Dark Legends,Dark Beginning 1,Legend of Blue Eyes White Dragon,Starter Deck: Joey,Legend of Blue Eyes White Dragon,Legendary Collection 3: Yugi's World Mega Pack,Retro Pack,Legend of Blue Eyes White Dragon,Hobby League 2 participation card F,Starter Deck: Kaiba,Starter Deck: Yugi,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/66788016.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/66788016.jpg,Yugi,1,TRUE
66788016,UR,1,#VALUE!,1,Fissure,"Destroy the 1 face-up monster your opponent controls that has the lowest ATK (your choice, if tied).",null,null,Spell Card,0,Normal,0,null,null,null,null,"YS12-EN025,SDY-026,SDK-032,BP01-EN065,SKE-027,YSD-EN025,DEM1-EN013,SYE-028,SDSC-EN025,YS11-EN025,BP01-EN065,SDGR-EN024,SDP-028,DLG1-EN007,DB1-EN117,LOB-057,SDJ-028,LOB-EN057,LCYW-EN055,RP01-EN006,LOB-E045,HL2-EN006,SDK-E029,SDY-E024,","Starter Deck: Xyz Symphony,Starter Deck: Yugi,Starter Deck: Kaiba,Battle Pack: Epic Dawn,Starter Deck: Kaiba Evolution,Starter Deck 2006,Demo Pack,Starter Deck: Yugi Evolution,Spellcaster's Command Structure Deck,Starter Deck: Dawn of the Xyz,Battle Pack: Epic Dawn,Geargia Rampage Structure Deck,Starter Deck: Pegasus,Dark Legends,Dark Beginning 1,Legend of Blue Eyes White Dragon,Starter Deck: Joey,Legend of Blue Eyes White Dragon,Legendary Collection 3: Yugi's World Mega Pack,Retro Pack,Legend of Blue Eyes White Dragon,Hobby League 2 participation card F,Starter Deck: Kaiba,Starter Deck: Yugi,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/66788016.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/66788016.jpg,Kaiba,1,TRUE
24094653,C,2,#VALUE!,2,Polymerization,"Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Materials.",null,null,Spell Card,0,Normal,0,null,null,null,null,"LDK2-ENJ26,LEHD-ENA22,SDMP-EN034,SDHS-EN023,DB1-EN119,SDJ-036,YGLD-ENB30,SS02-ENB11,DP1-EN014,DPKB-EN028,SDMY-EN031,SP15-EN038,LDK2-ENK22,YGLD-ENA35,YGLD-ENC28,LCYW-EN056,LOB-059,DLG1-EN009,RP01-EN008,LCJW-EN059,LCKC-EN026,LOB-EN059,SP15-EN038,LOB-E047,DEM4-EN001,","Legendary Decks II,Legendary Hero Decks,Master of Pendulum Structure Deck,HERO Strike Structure Deck,Dark Beginning 1,Starter Deck: Joey,Yugi's Legendary Decks,Speed Duel Starter Decks: Duelists of Tomorrow,Duelist Pack: Jaden Yuki,Duelist Pack: Kaiba,Structure Deck: Yugi Muto,Star Pack ARC-V,Legendary Decks II,Yugi's Legendary Decks,Yugi's Legendary Decks,Legendary Collection 3: Yugi's World Mega Pack,Legend of Blue Eyes White Dragon,Dark Legends,Retro Pack,Legendary Collection 4: Joey's World Mega Pack,Legendary Collection Kaiba Mega Pack,Legend of Blue Eyes White Dragon,Star Pack ARC-V,Legend of Blue Eyes White Dragon,Advanced Demo Deck Extra Pack,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/24094653.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/24094653.jpg,LOB,2,TRUE
43096270,??,,#VALUE!,--,Alexandrite Dragon,"Many of the czars' lost jewels can be found in the scales of this priceless dragon. Its creator remains a mystery, along with how they acquired the imperial treasures. But whosoever finds this dragon has hit the jackpot... whether they know it or not.",2000,100,Normal Monster,4,Dragon,LIGHT,null,null,null,null,"YS15-ENF01,LDK2-ENK12,SDBE-EN003,BP02-EN004,SDLI-EN001,YS12-EN001,YSKR-EN011,PHSW-EN000,BP02-EN004,PHSW-ENSP1,YS15-ENY01,","Saber Force Starter Deck,Legendary Decks II,Saga of Blue-Eyes White Dragon Structure Deck,Battle Pack 2: War of the Giants,Realm of Light Structure Deck,Starter Deck: Xyz Symphony,Starter Deck: Kaiba Reloaded,Photon Shockwave,Battle Pack 2: War of the Giants,Photon Shockwave Sneak Peek Participation Card,2-Player Starter Deck: Yuya & Declan,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/43096270.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/43096270.jpg,Kaiba Reloaded,#N/A,FALSE
15025844,SR,3,#VALUE!,3,Mystical Elf,"A delicate elf that lacks offense, but has a terrific defense backed by mystical power.",800,2000,Normal Monster,4,Spellcaster,LIGHT,null,null,null,null,"YS15-ENF02,SYE-002,DB1-EN120,SDY-001,YSYR-EN002,YGLD-ENA14,YS14-EN008,YS13-EN004,LCYW-EN005,LOB-062,YS15-ENY02,SDY-E001,LOB-EN062,LOB-E050,DEM3-EN001,","Saber Force Starter Deck,Starter Deck: Yugi Evolution,Dark Beginning 1,Starter Deck: Yugi,Starter Deck: Yugi Reloaded,Yugi's Legendary Decks,Super Starter: Space-Time Showdown,Super Starter: V for Victory,Legendary Collection 3: Yugi's World Mega Pack,Legend of Blue Eyes White Dragon,2-Player Starter Deck: Yuya & Declan,Starter Deck: Yugi,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Demo Deck 2016,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/15025844.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/15025844.jpg,LOB,3,FALSE
15025844,SR,3,#VALUE!,3,Mystical Elf,"A delicate elf that lacks offense, but has a terrific defense backed by mystical power.",800,2000,Normal Monster,4,Spellcaster,LIGHT,null,null,null,null,"YS15-ENF02,SYE-002,DB1-EN120,SDY-001,YSYR-EN002,YGLD-ENA14,YS14-EN008,YS13-EN004,LCYW-EN005,LOB-062,YS15-ENY02,SDY-E001,LOB-EN062,LOB-E050,DEM3-EN001,","Saber Force Starter Deck,Starter Deck: Yugi Evolution,Dark Beginning 1,Starter Deck: Yugi,Starter Deck: Yugi Reloaded,Yugi's Legendary Decks,Super Starter: Space-Time Showdown,Super Starter: V for Victory,Legendary Collection 3: Yugi's World Mega Pack,Legend of Blue Eyes White Dragon,2-Player Starter Deck: Yuya & Declan,Starter Deck: Yugi,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Demo Deck 2016,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/15025844.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/15025844.jpg,Yugi,3,TRUE
28279543,C,4,#VALUE!,4,Curse of Dragon,A wicked dragon that taps into dark forces to execute a powerful attack.,2000,1500,Normal Monster,5,Dragon,DARK,null,null,null,null,"DLG1-EN010,DB1-EN123,RP01-EN009,LCYW-EN006,SDY-008,YGLD-ENA07,LOB-066,LOB-E053,LOB-EN066,SDY-E007,","Dark Legends,Dark Beginning 1,Retro Pack,Legendary Collection 3: Yugi's World Mega Pack,Starter Deck: Yugi,Yugi's Legendary Decks,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Starter Deck: Yugi,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/28279543.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/28279543.jpg,LOB,4,FALSE
28279543,C,4,#VALUE!,4,Curse of Dragon,A wicked dragon that taps into dark forces to execute a powerful attack.,2000,1500,Normal Monster,5,Dragon,DARK,null,null,null,null,"DLG1-EN010,DB1-EN123,RP01-EN009,LCYW-EN006,SDY-008,YGLD-ENA07,LOB-066,LOB-E053,LOB-EN066,SDY-E007,","Dark Legends,Dark Beginning 1,Retro Pack,Legendary Collection 3: Yugi's World Mega Pack,Starter Deck: Yugi,Yugi's Legendary Decks,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Starter Deck: Yugi,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/28279543.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/28279543.jpg,Yugi,4,TRUE
12206212,C,5,#VALUE!,5,Harpie Lady Sisters,"Cannot be Normal Summoned/Set. Must first be Special Summoned with ""Elegant Egotist"".",1950,2100,Effect Monster,6,Winged Beast,WIND,null,null,null,Harpie,"LED4-EN006,SS02-ENC04,DB1-EN146,DLG1-EN027,LCJW-EN085,DPBC-EN038,SD8-EN007,MRD-009,MRD-E009,RP01-EN026,MRD-EN009,","Legendary Duelists: Sisters of the Rose,Speed Duel Starter Decks: Duelists of Tomorrow,Dark Beginning 1,Dark Legends,Legendary Collection 4: Joey's World Mega Pack,Duelist Pack: Battle City,Structure Deck: Lord of the Storm,Metal Raiders,Metal Raiders,Retro Pack,Metal Raiders,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/12206212.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/12206212.jpg,MRD,5,FALSE
