"id","name","type","desc","atk","def","level","race","attribute","archetype","set_tag","setcode","ban_tcg","ban_ocg","ban_goat","image_url","image_url_small"
"7359741","Mechanicalchaser","Normal Monster","A hunter that relentlessly pursues its target by order of the Machine King.","1850","800","4","Machine","DARK","","DB2-EN093,SD10-EN005,LCYW-EN151,TP3-003,TP1-E001,TP1-001,","Dark Beginning 2,Structure Deck: Machine Re-Volt,Legendary Collection 3: Yugi's World Mega Pack,Tournament Pack: 3rd Season,Tournament Pack: 1st Season,Tournament Pack: 1st Season,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/7359741.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/7359741.jpg"
"11868825","Goblin's Secret Remedy","Spell Card","Increase your Life Points by 600 points.","","","","Normal","","","TP3-011,LOB-099,LOB-E079,LOB-EN099,","Tournament Pack: 3rd Season,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/11868825.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/11868825.jpg"
"11901678","B. Skull Dragon","Fusion Monster","""Summoned Skull"" + ""Red-Eyes B. Dragon""\n\n\n\n(This card is always treated as an ""Archfiend"" card.)","3200","2500","9","Dragon","DARK","Archfiend","MIL1-EN011,LCJW-EN054,DLG1-EN029,DB1-EN153,MRD-018,BPT-006,RP01-EN028,MRD-E018,MRD-EN018,TP3-004,","Millennium Pack,Legendary Collection 4: Joey's World Mega Pack,Dark Legends,Dark Beginning 1,Metal Raiders,Booster Pack Collectors Tins 2002,Retro Pack,Metal Raiders,Metal Raiders,Tournament Pack: 3rd Season,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/11901678.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/11901678.jpg"
"17881964","Darkfire Dragon","Fusion Monster","""Firegrass"" + ""Petit Dragon""","1500","1250","4","Dragon","DARK","","LOB-019,TP3-016,LOB-E015,LOB-EN019,","Legend of Blue Eyes White Dragon,Tournament Pack: 3rd Season,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/17881964.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/17881964.jpg"
"21417692","Dark Elf","Effect Monster","This card requires a cost of 1000 of your own Life Points to attack.","2000","800","4","Spellcaster","DARK","","TP3-018,MRD-113,MRD-E113,MRD-EN113,","Tournament Pack: 3rd Season,Metal Raiders,Metal Raiders,Metal Raiders,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/21417692.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/21417692.jpg"
"28470714","Bladefly","Effect Monster","As long as this card remains face-up on the field, increase the ATK of all WIND monsters by 500 points and decrease the ATK of all EARTH monsters by 400 points.","600","700","2","Insect","WIND","","DB2-EN068,TP3-020,MRD-118,SD8-EN008,MRD-E118,MRD-EN118,","Dark Beginning 2,Tournament Pack: 3rd Season,Metal Raiders,Structure Deck: Lord of the Storm,Metal Raiders,Metal Raiders,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/28470714.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/28470714.jpg"
"42364257","Anti Raigeki","Trap Card","When your opponent activates ""Raigeki"", all of your opponent's monsters are destroyed in place of your own.","","","","Normal","","Anti","LCKC-EN104,TP3-002,","Legendary Collection Kaiba Mega Pack,Tournament Pack: 3rd Season,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/42364257.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/42364257.jpg"
"43487744","White Hole","Trap Card","Activate only when your opponent activates ""Dark Hole"". The monsters you control are not destroyed.","","","","Normal","","Hole","LCKC-EN102,TU04-EN020,TP3-009,TP1-E005,TP1-005,","Legendary Collection Kaiba Mega Pack,Turbo Pack: Booster Four,Tournament Pack: 3rd Season,Tournament Pack: 1st Season,Tournament Pack: 1st Season,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/43487744.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/43487744.jpg"
"48305365","Axe Raider","Normal Monster","An axe-wielding monster of tremendous strength and agility.","1700","1150","4","Warrior","EARTH","","5DS1-EN003,LDK2-ENJ07,DB2-EN092,LCJW-EN007,TP3-006,TP1-E002,TP1-002,","Starter Deck: Yu-Gi-Oh! 5D's,Legendary Decks II,Dark Beginning 2,Legendary Collection 4: Joey's World Mega Pack,Tournament Pack: 3rd Season,Tournament Pack: 1st Season,Tournament Pack: 1st Season,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/48305365.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/48305365.jpg"
"50045299","Dragon Capture Jar","Trap Card","Change all face-up Dragon-Type monsters on the field to Defense Position, also they cannot change their battle positions.","","","","Continuous","","","DB1-EN111,LCYW-EN117,SDY-044,TP3-010,LOB-045,SDY-E040,LOB-E035,LOB-EN045,","Dark Beginning 1,Legendary Collection 3: Yugi's World Mega Pack,Starter Deck: Yugi,Tournament Pack: 3rd Season,Legend of Blue Eyes White Dragon,Starter Deck: Yugi,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/50045299.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/50045299.jpg"
